Kimlik,Tür,"Stok kodu (SKU)","GTIN, UPC, EAN veya ISBN",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Ön Siparişe İzin Ver?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum,Markalar,"Blocksy Custom Data","Blocksy Variation Images","Nitelik 1 ismi","Nitelik 1 değer(ler)i","Nitelik 1 görünür","Nitelik 1 genel"
73,variation,"F23212-V3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 40",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F23212-V3,,,,,,0,,,,Numara,40,,0
74,variation,"F23212-V3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 41",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,41,,0
75,variation,"F23212-V3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 42",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,42,,0
76,variation,"F23212-V3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 43",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,43,,0
77,variation,"F23212-V3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 44",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,44,,0
78,variation,"F23212-V3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 45",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,45,,0
79,variation,"F23212-V3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F23212 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F23212-V3,,,,,,0,,,,Numara,46,,0
80,variable,F54082-S1,,"Bayyıldız Günlük Ayakkabı – Model F54082",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/f54082hm.jpg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-9.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-7.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
81,variable,F54082-S3,,"Bayyıldız Günlük Ayakkabı – Model F54082",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/F54082-5.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-4.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-3.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
82,variation,"F54082-S1 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 39",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S1,,,,,,0,,,,Numara,39,,0
83,variation,"F54082-S1 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 40",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S1,,,,,,0,,,,Numara,40,,0
84,variation,"F54082-S1 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 41",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S1,,,,,,0,,,,Numara,41,,0
85,variation,"F54082-S1 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 42",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,"3790,0",,,,,,,F54082-S1,,,,,,0,,,,Numara,42,,0
86,variation,"F54082-S1 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 43",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F54082-S1,,,,,,0,,,,Numara,43,,0
87,variation,"F54082-S1 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 44",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S1,,,,,,0,,,,Numara,44,,0
88,variation,"F54082-S1 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 45",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S1,,,,,,0,,,,Numara,45,,0
89,variation,"F54082-S1 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 46",0,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F54082-S1,,,,,,0,,,,Numara,46,,0
90,variation,"F54082-S3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 39",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,39,,0
91,variation,"F54082-S3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 40",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,40,,0
102,variation,"F54082-S3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 41",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,41,,0
103,variation,"F54082-S3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 42",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,42,,0
104,variable,F54082-V3,,"Bayyıldız Günlük Ayakkabı – Model F54082",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/F54082-8.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-2.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/F54082-1.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
105,variable,F54083-K3,,"Bayyıldız Günlük Ayakkabı – Model F54083",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/f54083k.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083k2.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083k3.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
106,variation,"F54082-S3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 43",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,43,,0
107,variation,"F54082-S3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 44",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F54082-S3,,,,,,0,,,,Numara,44,,0
108,variation,"F54082-S3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 45",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,45,,0
109,variation,"F54082-S3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-S3,,,,,,0,,,,Numara,46,,0
110,variation,"F54082-V3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 39",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,39,,0
111,variation,"F54082-V3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 40",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,40,,0
112,variation,"F54082-V3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 41",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,41,,0
113,variation,"F54082-V3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 42",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,42,,0
114,variation,"F54082-V3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 43",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,43,,0
115,variation,"F54082-V3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 44",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,44,,0
116,variation,"F54082-V3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 45",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"3790,0",,,,,,,F54082-V3,,,,,,0,,,,Numara,45,,0
117,variation,"F54082-V3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54082 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54082-V3,,,,,,0,,,,Numara,46,,0
118,variation,"F54083-K3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 39",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,39,,0
119,variation,"F54083-K3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 40",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,40,,0
120,variation,"F54083-K3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 41",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,41,,0
121,variation,"F54083-K3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 42",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,42,,0
122,variation,"F54083-K3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 43",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,43,,0
123,variation,"F54083-K3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 44",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,44,,0
124,variation,"F54083-K3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 45",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,45,,0
125,variation,"F54083-K3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-K3,,,,,,0,,,,Numara,46,,0
126,variable,F54083-S1,,"Bayyıldız Günlük Ayakkabı – Model F54083",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/f54083s.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083s2.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083s3.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
127,variable,F54083-S3,,"Bayyıldız Günlük Ayakkabı – Model F54083",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/f54083ss.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083ss2.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/f54083ss3.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
129,variation,"F54083-S1 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 39",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,39,,0
130,variation,"F54083-S1 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 40",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,40,,0
131,variation,"F54083-S1 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 41",1,0,visible,,,,,taxable,,1,5,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,41,,0
135,variation,"F54083-S1 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 42",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,42,,0
136,variation,"F54083-S1 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 43",1,0,visible,,,,,taxable,,1,5,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,43,,0
137,variation,"F54083-S1 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 44",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,44,,0
138,variation,"F54083-S1 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 45",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,45,,0
139,variation,"F54083-S1 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 46",0,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S1,,,,,,0,,,,Numara,46,,0
140,variation,"F54083-S3 - 39",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 39",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,39,,0
141,variation,"F54083-S3 - 40",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 40",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,40,,0
142,variation,"F54083-S3 - 41",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 41",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,41,,0
143,variation,"F54083-S3 - 42",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 42",1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,42,,0
144,variation,"F54083-S3 - 43",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 43",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,43,,0
145,variation,"F54083-S3 - 44",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 44",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,44,,0
146,variation,"F54083-S3 - 45",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 45",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,45,,0
147,variation,"F54083-S3 - 46",,"Bayyıldız Günlük Ayakkabı – Model F54083 - 46",0,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,3790,,,,,,,F54083-S3,,,,,,0,,,,Numara,46,,0
156,variable,G505-BJ,,"Bayyıldız Günlük Ayakkabı – Model G505",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/GK25-505.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/GK25-505-1-1.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
157,variation,"G505-Bj - 40",,"Bayyıldız Günlük Ayakkabı – Model G505 - 40",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,"4300,0",,,,,,,G505-BJ,,,,,,1,,,,Numara,40,,0
158,variation,"G505-Bj - 41",,"Bayyıldız Günlük Ayakkabı – Model G505 - 41",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,0,,,"4300,0",,,,,,,G505-BJ,,,,,,2,,,"{""gallery_source"":""default"",""images"":[]}",Numara,41,,0
159,variation,"G505-Bj - 42",,"Bayyıldız Günlük Ayakkabı – Model G505 - 42",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,0,,,"4300,0",,,,,,,G505-BJ,,,,,,3,,,"{""gallery_source"":""default"",""images"":[]}",Numara,42,,0
160,variation,"G505-Bj - 43",,"Bayyıldız Günlük Ayakkabı – Model G505 - 43",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,0,,,"4300,0",,,,,,,G505-BJ,,,,,,4,,,"{""gallery_source"":""default"",""images"":[]}",Numara,43,,0
161,variation,"G505-Bj - 44",,"Bayyıldız Günlük Ayakkabı – Model G505 - 44",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,0,,,"4300,0",,,,,,,G505-BJ,,,,,,5,,,"{""gallery_source"":""default"",""images"":[]}",Numara,44,,0
169,variable,G505-H,,"Bayyıldız Günlük Ayakkabı – Model G505",1,0,visible,"Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı.","Hakiki deri veya kaliteli tekstilden üretilmiş, rahat taban yapısına sahip günlük erkek ayakkabısı. Günlük kullanımda konfor ve dayanıklılığı bir arada sunan bu model, doğal malzeme yapısı sayesinde ayağın nefes almasına yardımcı olur. Dengeli taban yapısı yürüyüş sırasında rahatlık sağlar ve uzun süreli kullanıma uygundur. Şehir hayatında, iş temposunda ve günlük kombinlerde güvenle tercih edilebilir.",,,taxable,,1,,,0,0,,,,,0,,,,Günlük,,,"https://bayyildiz.com/wp-content/uploads/2026/01/GK25-505-2.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/GK25-505-1-1.jpeg, https://bayyildiz.com/wp-content/uploads/2026/01/GK25-505-3.jpeg",,,,,,,,,0,,,,Numara,"39, 40, 41, 42, 43, 44, 45",0,0
